vessel_id,vessel_name,latitude,longitude,timestamp,speed,heading
v-001,MV Ocean Star,18.6500,67.9500,2026-09-04T14:00:00Z,12.4,330
v-001,MV Ocean Star,18.6800,67.9200,2026-09-04T15:00:00Z,11.8,331
v-001,MV Ocean Star,18.7100,67.8900,2026-09-04T16:00:00Z,10.9,332
v-001,MV Ocean Star,18.7350,67.8500,2026-09-04T17:00:00Z,9.6,334
v-001,MV Ocean Star,18.7420,67.8220,2026-09-04T18:00:00Z,8.9,336
v-001,MV Ocean Star,18.7600,67.7900,2026-09-04T19:00:00Z,9.2,338
v-002,MT Horizon,18.5200,67.9000,2026-09-04T14:00:00Z,14.0,40
v-002,MT Horizon,18.5600,67.9300,2026-09-04T15:00:00Z,14.2,41
v-002,MT Horizon,18.6000,67.9600,2026-09-04T16:00:00Z,14.4,42
v-002,MT Horizon,18.6400,67.9800,2026-09-04T17:00:00Z,14.1,43
v-003,Blue Meridian,19.0500,67.4000,2026-09-04T14:00:00Z,16.0,220
v-003,Blue Meridian,18.9800,67.4600,2026-09-04T15:00:00Z,15.8,221
v-003,Blue Meridian,18.9100,67.5200,2026-09-04T16:00:00Z,15.9,222
v-003,Blue Meridian,18.8400,67.5800,2026-09-04T17:00:00Z,15.7,223
